"date","Asset_A","Asset_B","Asset_C","Asset_D"
2022-01-03,0.0205643767072,0.00181747071434909,-0.00848815696948922,-0.00182746814837513
2022-01-04,-0.00847047257094133,-0.00700930764419765,-0.010885198619572,-0.00278262464488215
2022-01-05,0.00544692617006009,0.00442568079156291,-0.00484290571117173,0.00425702895605386
2022-01-06,0.00949293907441561,0.00353585207663419,-0.00336311209009573,0.0128578764980895
2022-01-07,0.00606402484711499,-0.0033511124801109,-0.00153357890661644,0.00411051620893275
2022-01-10,-0.00159186774137226,-0.0160348398587178,-0.00243247228574846,0.0110589852845842
2022-01-11,0.0226728299615841,0.00840898582128041,0.0189220204160011,0.00610477638839923
2022-01-12,-0.00141988557619646,0.0066503594672884,-0.0138599833728542,-0.00499667635707289
2022-01-13,0.0302763557081556,-0.010035679113617,-0.0041482430070778,0.000652350403431895
2022-01-14,-0.000940711485786315,-0.0191350579440749,0.00349081528106831,0.0110086328909182
2022-01-17,0.0195730448133523,0.00245950296705161,0.0162844226581541,-0.0124901262892563
2022-01-18,0.0342996808905166,-0.00414105573567468,0.000885218957136163,0.00259816528475759
2022-01-19,-0.0208329105166851,0.00303134044037346,0.0123915070840056,-0.0012543225356179
2022-01-20,-0.00418183150226057,-0.0155280295858146,-0.0164455553575371,0.00702227088587481
2022-01-21,-0.00199982004590487,-0.0115100453325644,0.0144635652537848,0.00600133260144511
2022-01-24,0.00953925597105111,0.0130292982441588,-0.00690560171665183,0.00240842723074264
2022-01-25,-0.00426379382124109,0.00484529885658857,-0.00276431085453852,0.0119424889378345
2022-01-26,-0.0398468313135716,0.00703785044063157,-0.0110941875989944,-0.0122039504013576
2022-01-27,-0.0366070039286328,0.0217827413538474,0.00133869316429452,0.00728574046788817
2022-01-28,0.0198017001859529,0.0015458571432286,0.0178533905173155,-0.0126362562228603
2022-01-31,-0.00459957891117712,-0.0240111508527781,0.0242216335525159,0.00470173005694865
2022-02-01,-0.0267196265097,0.00400532636920284,-0.0107682890211841,0.000717138368005795
